question,percent_correct
"In this article, the author mainly",0.7046460176991151
How does the author introduce the idea that fitness does not define the quality of a soldier?,0.6471238938053098
"Which option BEST summarizes the section called ""Ban Hurts Career Advancement?""",0.5143805309734514
"In the section ""In Modern Warfare, No One Is Safe"" why does the author include the Pew Research Center poll details?",0.4314159292035398
Which statement best expresses Tammy Duckworth's view of women in combat?,0.6661490683229814
"What is the main message of the first paragraph of the section ""In Modern Warfare, No One's Safe""?",0.7049689440993789
Which statement BEST expresses the decision made by the Defense Department?,0.7639751552795031
Which statement BEST expresses the main idea of the article?,0.7484472049689441
"Which statement BEST explains the section ""Ban Hurts Career Advancement""?",0.703416149068323
Which of these are examples used to support the main idea of the article?,0.6051724137931035
"According to the article, which of the following will NOT be true for women in the military after they are allowed in combat?",0.5
"According to the article, how will the U.S. military's decision help women serving in the military?",0.6913793103448276
"According to the article, including women in combat gets a positive reaction from all of the following EXCEPT",0.4362068965517241
Why does the author refer to Major Hegar not being promoted? ,0.6862068965517242
Which statement does NOT support the main idea of this article?,0.7277882797731569
"Based on paragraph 8, what was the main reason why Major Mary Jennings Hegar was not given a promotion?",0.77882797731569
Which of the following is the BEST explanation for why the U.S. military has lifted the ban on women taking part in combat?,0.6238185255198487
"Which sentence BEST supports the section ""Ban Hurts Careers?""",0.2892249527410208
"According to the article, the U.S. military would no longer ban women from combat for all of the following reasons EXCEPT",0.4499054820415879
Which option best explains the main idea of the article?,0.5301085883514314
What is the main idea of the article?,0.5577492596248766
"Based on paragraph 4, why aren't women in the military allowed to drive a tank?",0.39387956564659427
"Read the sentences below: <blockquote>Women serve in the Army, Marines, Air Force and Navy. But many jobs have been off-limits to women.</blockquote> <blockquote>The Air Force said she had not really served in combat. They would not let her have a leadership role. </blockquote>Which of the following BEST explains the main idea of the section ""Ban Hurts Careers""?",0.3040473840078973
"In the section ""What's the Fuss?"" Tammy Duckworth says, ""Down the road, we're going to look back  and say, boy, that was a lot of fuss over nothing."" What do you think she meant?",0.4422507403751234
The article shows the severity of the Taliban attack by,0.3684210526315789
What is the reason that the Pakistan government is setting up checkpoints and military bases at the resort?,0.8383458646616542
Select the paragraph from the article that provides a connection between the year 2010 and the financial difficulties residents of Swat Valley are facing.,0.6992481203007519
The author compares the Swat valley when it was a posh ski resort to what it became after the Taliban occupation in order to,0.7180451127819549
What event led to Swat Valley residents losing four-fifths of their wages?,0.7887931034482759
What event brought world attention to the Swat Valley?,0.6637931034482759
Select the paragraph from the article that states the primary reason the Taliban set fire to and destroyed 'The Switzerland of Pakistan'.,0.5086206896551724
What detail from the article BEST explains the impact of the Taliban’s occupation on the people of the SWAT valley?,0.20689655172413793
What was the effect of the destruction of the ski resort and hotel?,0.6111111111111112
What effect does the destruction of the resort have on the residents of Swat Valley Region?,0.6527777777777778
Select the paragraph from the article that provides the MOST evidence that tourism has largely decreased since the Taliban attack.,0.4305555555555556
"In its heyday, the resort hosted thousands of people each day; now, the number is usually in the dozens. What BEST explains why the number of visitors has come down?
",0.5787037037037037
What was the primary cause of the Taliban destroying the resort?,0.5058139534883721
Select the paragraph from the article that states the reason why the Taliban tried to kill a 15-year-old girl.,0.8023255813953488
"According to the article, what event will bring tourists back to the Swat Valley region?",0.37209302325581395
"The following summarize the history of Swat since 2008:
>•	Thousands of tourists used to visit the SWAT valley for skiing.

>•	The Taliban occupied the SWAT region and terrorized the people of the valley.

>•	They killed the people who opposed them, setting fire to schools and banning girls from classes

>•	The Taliban declared skiing was against their religion and burnt the main ski resort in Malam Jabba.

Which of these shows the next event in the history of the Swat Valley?",0.32558139534883723
What is the reason that Malam Jabba is strewn with rubble?,0.6751054852320675
"According to the article, why does Ali's heart sink?",0.729957805907173
What information can someone learn from reading this article?,0.5780590717299579
Select the paragraph from the article that BEST describes the resort before it was destroyed?,0.3333333333333333
The article first introduces Pakistan's ski resort by,0.6089108910891089
The article draws a connection between all of the following EXCEPT,0.5445544554455446
Select the paragraph from the article that provides the MOST evidence of the reason why hotel owners have only rebuilt 20 of the 120 hotels destroyed in the 2010 flood. ,0.45544554455445546
What is the primary reason the Malam Jabba is not being restored?,0.4207920792079208
"In the section ""Genuine Money Markers,"" what does the following statement show?

>To combat counterfeiting, the Treasury Department includes many complicated details in its currency. ",0.6669941060903732
Which of the following lines from the story BEST supports the central idea?,0.6611001964636543
"According to the author, why does the U.S. Secret Service recommend that people know their money?",0.7888015717092338
The article suggests all of the following as strategies for combating counterfeit money EXCEPT,0.5756385068762279
"Which option BEST summarizes the section ""Know Your Money""?",0.7357563850687623
"What information does the author provide in the section ""Know Your Money""?",0.6527545909849749
Which statement BEST reflects the central idea of the article?,0.6010016694490818
"Which statement BEST summarizes the section ""Stopped By The Secret Service""?",0.5392320534223706
"Why did the author make use of the example of Heath J. Kellogg in the section ""Counterfeiter Caught""?",0.4090150250417362
"According to the section ""Know Your Money,"" a real bill will have all of the following EXCEPT",0.4887640449438202
Which of the following statements BEST describes the main idea of the story?,0.6067415730337079
"According to the story, how do counterfeiters continue to succeed in making fake bills?",0.42696629213483145
The Treasury Department lists the following ways to tell the difference between real and fake bills EXCEPT,0.3904494382022472
"Which of the following, in the section named ""Genuine Money Markers,"" BEST deals with the main idea of the article?",0.4747191011235955
Which of the following best supports the main idea of the story?,0.40226986128625475
"All of the following form the main idea of the story, EXCEPT",0.424968474148802
Which of the following questions does the story answer?,0.5687263556116016
"According to the story, how did Kellogg copy the watermark found on the real bills?",0.510718789407314
"In the section named ""Stopped By The Secret Service,"" what BEST describes the fact that today's bills are different from those made years ago?",0.39974779319041615
What was the cause of Pope Benedict's resignation?,0.8626609442060086
How does the author help the reader understand why the resignation was so surprising?,0.6824034334763949
What does the heading “Mixed Legacy” mean for paragraphs 5-7?,0.6523605150214592
Which point of comparison does the author make between Benedict and John Paul II?,0.6137339055793991
Which statement from the article BEST supports how Benedict is like a Rottweiler?,0.7553648068669528
Which statement from the article shows that Benedict was a caring pope?,0.7818181818181819
What describes how people would MOST LIKELY view Pope Benedict?,0.7363636363636363
Which statement BEST describes Pope Benedict’s position on modern issues?,0.44545454545454544
Read the sentence from the passage.                                                                                                                                                                                                                                                                    <blockquote>Vatican watchers say the next pontiff will probably share many of the same opinions as Pope Benedict.</blockquote>                                                                                                                     Which provides the BEST evidence to support this statement?,0.4727272727272727
Why does the Catholic Church consider the pope to be so important?,0.6454545454545455
Which sentence from the question BEST shows the difference in popularity between Pope Benedict and Pope John Paul II?,0.5688073394495413
"Based on the passage, Benedict upset some people by",0.5779816513761468
"Read the sentence from the passage about Pope Benedict.

> He told the cardinals that his mind and body were too weak to lead the church in “today’s world.”

What did Benedict mean by his statement?",0.6697247706422018
Which statement explains the connection between Pope Benedict and Pope Gregory XII?,0.7247706422018348
What is the meaning of black smoke rising from the chimney of the Sistine Chapel?,0.7064220183486238
Why did Pope Benedict retire?,0.782258064516129
"Which sentence BEST tells why people were ""stunned"" to learn the Pope was quitting?",0.717741935483871
In what way are Pope Benedict and Pope Gregory XII the same?,0.6048387096774194
Which reason makes it difficult to choose a new pope?,0.5403225806451613
"What is the MOST LIKELY reason some people called Pope Benedict, “God’s Rottweiler?”",0.7580645161290323
"Read the following sentence from the passage.                                                                                                                                                                                                                                                              <blockquote>Too many New Haven youths looked to their future and saw nothing but a wall of obstacles.</blockquote> What can we infer the author means by the statement ""a wall of obstacles""?",0.8104838709677419
How do city leaders believe educating students will benefit New Haven?,0.6411290322580645
What would disqualify a student from the New Haven Promise program?,0.75
What is the primary reason students do not enroll for a second year during the Promise Scholarship program?,0.6290322580645161
"Read the following sentence from the passage.                                                                                                                                                                                                                                           <blockquote>For example, in Kalamazoo, the success rate for middle-income students was about twice that for poor students, with the low-income students either losing their scholarships or being put on probation.</blockquote> What can we conclude is the BEST reason why many low income students do not succeed in college? ",0.4112903225806452
"According to the passage, how are New Haven and cities in the Northeast and Midwest alike?",0.7037037037037037
What benefit has come from the New Haven Promise program?,0.757201646090535
What is a good title for the passage?,0.7325102880658436
"Read the following sentences from the passage.                                                                                                                                                                                                                                            <blockquote>During the few years these ""Promise"" programs have been in place, it has become clear that just providing free tuition is not enough. Many students do not have enough support at home to help them stick with college. There may be nobody setting an example of success or encouraging them to work hard.</blockquote> What can we conclude the author means by encouragement and support?",0.8806584362139918
"Read the following sentences from the passage.                                                                                                                                                                                                                                            <blockquote>It may be too soon to tell, but the hope is that the new culture of success will make the difference in the years to come.</blockquote> After reading the passage, what can you infer will change in New Haven in the future?",0.7283950617283951
Which is a reason why the future is not bright for many of New Haven's students?,0.6624605678233438
Why is it so important for the people of New Haven to have a college degree?,0.807570977917981
Why are many New Haven residents unable to go to college?,0.8517350157728707
Which of the following is NOT a qualification for the New Haven Promise program?,0.7760252365930599
"Read the sentences from the passage: <blockquote>The city is now finding ways to give students help and guidance all the
way through college. It is still early, but the hope is that the program
will give all New Haven students a chance at a bright future.</blockquote>                                                                                                                                                                                                                                                                What do you infer New Haven may do in the future to help guide students through college? ",0.4637223974763407
Why can't many students in New Haven go to college?,0.8183760683760684
Which sentence BEST tells how going to college will help people earn a good living?,0.7072649572649573
Which New Haven program will pay for students to go to college?,0.6688034188034188
What would stop a student from getting free college?,0.8226495726495726
Why did New Haven start the College Summit program?,0.3995726495726496
"Closely reread the following line spoken by Tyler from the passage. <blockquote>""There's good days and bad days,"" Tyler told Jezza Neumann, the director of the PBS documentary ""Poor Kids."" </blockquote> What does Tyler mean by good days and bad days?",0.8260635433494884
How does poverty influence homelessness?,0.5067312870220786
"According to the author, how are Kaylie and Tyler's family similar to millions of other Americans?",0.7428648357565967
Which sentence from the passage provides evidence that Tyler and Kaylie will MOST LIKELY continue to be poor as adults?,0.6138933764135702
"How is the United States similar to Mexico, Chile and Turkey?",0.8823371028540657
How do Kaylie and Tyler resemble Inocente Izucar?,0.6758212170166936
Why do Kaylie and Tyler not eat three meals a day?,0.9617044228694714
Which sentence from the passage provides the BEST evidence that Kaylie and Tyler are homeless?,0.5393743257820928
How are Kaylie and Tyler's lives different from children who are not homeless?,0.5741639697950378
How will being homeless have a negative effect on Kaylie and Tyler's life as adults?,0.8848435814455232
How did Inocente Izucar's documentary influence homelessness in the United States?,0.5738942826321467
What is the difference between Tyler and Kaylie and other children who work to earn money?,0.7216408539137714
"According to the story, what caused homelessness to explode in 2008?",0.7161992465466722
How does the author compare homeless children to the state of Idaho?,0.5822519882796149
Why would a person MOST LIKELY become homeless if they did not receive a paycheck because of illness or some other crisis?,0.644202595228129
How can Inocente Izucar's documentary help cure the homeless epidemic in America?,0.6102971954792801
"According to the passage, why do the children have to eat their cereal without milk?",0.9347881248414108
How are Kaylie and Tyler the same as homeless people?,0.7972595787871098
"Based on the passage, which word BEST describes the children.",0.8675463080436437
Why did Kaylie have to give her dog away?,0.851560517635118
How was Inocente lzucar's life as a child like Kaylie and Tyler's life?,0.5924892159350419
Which of these would be a good title for the first three paragraphs?,0.3271604938271605
"Which is the BEST one-sentence summary for the section ""Critics Question the Plan""?",0.43209876543209874
"Which of these would be another good title for the section ""Who Called The Posse""?",0.5802469135802469
Which sentence would be the LEAST important to include in a summary of the first three paragraphs?,0.5123456790123457
What is the theme of this article?,0.7692307692307693
"Which is the BEST one-sentence summary for the section ""Calling All Critics""?",0.48846153846153845
"Which sentence is the BEST one-sentence summary for the section ""Gunning For A Debate""?",0.3769230769230769
"Which sentence would be the LEAST important to include in a summary of the section ""Armed Guards In Every School""?",0.25769230769230766
Which sentence BEST summarizes the article?,0.5418502202643172
"According to the article, the sheriff’s posse did all of the following EXCEPT",0.5308370044052864
Which of the following is another good title for the article?,0.4669603524229075
"According to the article, why did the sheriff form a posse to keep school children safe?",0.6057268722466961
Which sentence would be the least important to include in a summary of this article?,0.5088105726872246
Which statement BEST summarizes the central idea of the article?,0.7114093959731543
"Read the selection of sentences from the article.                                                               <blockquote> Following the Sandy Hook Elementary School tragedy, officials all over the country are trying to figure out the best way to keep schools safe. In January, Sheriff Arpaio put his own new school safety plan into action. He dispatched his volunteer posse to patrol 59 schools in Maricopa County.                                                                Some volunteers are armed with automatic or semi-automatic weapons.                                                       The school patrol plan has its critics. Some wonder about the background of the volunteers and if they can be trusted. The posse includes military veterans and former police officers. However, a local television news investigation revealed that some posse members have criminal records, including assault and disorderly conduct charges. </blockquote>                                           Choose the sentence below that BEST summarizes the selections from the article. ",0.5469798657718121
Which of these is NOT a strategy mentioned in the article for making schools safer?,0.3087248322147651
What is the BEST title for the last paragraph?,0.6073825503355704
"Which sentence would be the LEAST important to include in a summary of the section ""Armed Guards for Every School""?",0.4429530201342282
"If a member of the public helps the FBI find the paintings, what positive result will it have on their lives?",0.7342611000662691
"Read the following sentence from the article. <blockquote> In just 81 minutes, the men were able to steal 13 precious works of art.</blockquote> What is the author trying to help the reader understand about the thieves?",0.9102054340622929
"According to the article, what can we infer is the reason the FBI discovered the thieves' identities?",0.4403578528827038
"Read the following sentences from the article. <blockquote>Gardner was a huge fan of the Boston Red Sox baseball team. She shocked many people at a formal concert in 1912 when she appeared wearing a white headband, on which she had written ""Oh, you Red Sox!""</blockquote> Which of the following is the author using when telling the story about Isabella Gardner?",0.6514247846255798
"Read the following sentence from the article.

>According to the museum's website, this act led a local newspaper to refer to her as ""a woman gone crazy.""

Which of the following is the MOST LIKELY reason the newspaper refers to Isabella as ""a woman gone crazy""? ",0.7776673293571902
Read the following sentence from the article. <blockquote>Would you like to assist the FBI in solving the biggest property theft in U.S. history?</blockquote> What is the BEST way someone can help the FBI solve the crime?,0.7129840546697038
What caused the FBI to announce a reward for information on the stolen art pieces?,0.773511226814188
"According to the article, what is a negative effect of the crime happening 23 years ago?",0.412626098275301
"Read the following sentences from the article. <blockquote>Gardner was a huge fan of the Boston Red Sox baseball team. She shocked many people at a formal concert in 1912. Gardner wore a white headband on which she had written ""Oh, you Red Sox!"" Everyone at the concert was wearing fancy clothes at this event, except for Gardner in her baseball headband. The museum's website says that this led a local newspaper to call her ""a woman gone crazy."" </blockquote>What is the author trying to help the reader understand by telling this story?",0.6810933940774487
What two words BEST describe Isabella Gardner?,0.8926130816791409
What is the primary reason most people would help investigators find the missing paintings?,0.8214771182600815
What did the thieves do right after they dressed up like police officers?,0.5043044857272315
What is a possible result of the police releasing the thieves' identities?,0.6986859990937925
"According to the passage, which sentence describes how Carmen Ortiz feels about the missing paintings?",0.7403715450838242
"Read the sentence from the article. <blockquote>The museum's website says this led a newspaper to call her ""a woman gone crazy.""</blockquote> What caused the newspaper to refer to Isabella as a ""woman gone crazy""? ",0.5845038513819665
What will people receive if they find or give information on where the paintings are?,0.9424005945745076
What did the thieves do right after they demanded to get in?,0.6685247120029729
What does the FBI want people to do to help them?,0.6034931252322556
What effect do the missing paintings still have on the museum?,0.7075436640654031
People can get into the museum for free if they,0.5867707172054998
How was Chavez similar to Venezuelan leader Simon Bolivar?,0.7363636363636363
How did Venezuela's oil wealth affect Chavez's political influence?,0.4590909090909091
"Which of the following provides the MOST evidence that Chavez had a cheerful, charming side?",0.6863636363636364
What was the cause of the protests that led to Chavez being removed from power in 2002?,0.7681818181818182
What can we infer is MOST LIKELY to happen now that Chavez is no longer the leader of Venezuela?,0.5409090909090909
"Based on the information in the article, which word BEST describes Chavez?",0.5759493670886076
What was different about Chavez from any president in all the Americas?,0.5063291139240507
What was the cause of Chavez attempting to overthrow the Venezuelan government?,0.740506329113924
Which sentence from the article provides the MOST evidence that Chavez hated the United States?,0.4050632911392405
"Read this sentence from the passage: <blockquote>However, even his critics admit that he gave the poor more of a voice in the country.</blockquote> What does the author MOST LIKELY mean by ""he gave the poor a voice""?",0.6835443037974683
According to the article what is the MOST LIKELY reason Chavez's parents sent him to live with his grandmother? ,0.8544303797468354
What was the cause of Chavez going to jail?,0.7911392405063291
What primary effect did Chavez have on the poor people in his country?,0.6962025316455697
What is the MOST LIKELY reason some people hated Chavez?,0.6835443037974683
"According to the passage, what is a negative effect of Chavez's leadership?",0.5886075949367089
What was the cause of Chavez's death?,0.9104477611940298
Why did Chavez fight to end poverty? ,0.7064676616915423
What BEST explains the reason Chavez did not like President Bush?  ,0.3482587064676617
In what way are President Bush and Chavez the same?,0.7761194029850746
What did Chavez do right after he got out of jail?,0.7611940298507462
Why did Joyce Benes call the Illinois Department of Agriculture?,0.7734939759036145
How many investigators does the Department of Agriculture have?,0.38795180722891565
"According to the article, county animal control departments can:",0.3397590361445783
Which statement from the article provides the BEST reason why Joyce Benes helped the horses?,0.8746987951807229
Whom did Joyce Benes call about the horses?,0.7687074829931972
"According to the article, horse rescue groups blame the animal neglect crisis on all of the following EXCEPT:",0.5408163265306123
"Read the selection from the question.                                                                                                                                                                                                                                                                                                        <blockquote>""Everyone's resources are stretched thin,"" Squibb said.  ""There's a limit to what we can provide. If that's not good enough for people, I suggest they contact their lawmakers and tell them to start providing additional resources."" </blockquote>                                                                                                                                                                                                                                      What can you infer that the author means by ""stretched thin""?",0.7551020408163265
Which sentence from the article provides the most evidence that the horses were neglected?,0.7380952380952381
Why did the price of hay rise from $2 to $10?,0.8706896551724138
"According to the article, the state of Illinois did all of the following EXCEPT:",0.7327586206896551
"What sentence from ""Short-Handed State"" provides the most evidence that the state did all it could to resolve the horse abandonment and neglect case?",0.4956896551724138
"Read the sentence from the article.                                                                                                                                                                                                                                                                                                          <blockquote>""It's pretty rough out there right now,"" said Tony Pecho, president of Illinois Horse Rescue of Will County. He estimates that 35 to 50 abandoned horses are running free near his organization's base in Beecher, Illinois. ""I'm very, very worried about it.""  </blockquote>                                                                                                                                                                   What can the reader infer is the primary reason why Tony Pecho is worried about the horses?",0.8103448275862069
"Read this sentence from the article.                                                                                                                                                                                                                                                                                               <blockquote>Several county animal control departments in the Chicago area say that they have tried to cope with an unusually high number of horse abandonment calls, which have to be handled by staff and facilities mostly equipped to deal with cats and dogs. </blockquote>                                                                                                                                                                     What is MOST LIKELY the reason that staff and facilities mostly equipped to deal with cats and dogs have to handle the horse abandonment calls?",0.6257668711656442
"Read this sentence from the article.                                                                                                                                                                                                                                                                                               <blockquote>Dozens&mdash;perhaps hundreds&mdash;of horses and other large animals have been abandoned or neglected with no consequences for the owners, according to several horse-rescue operators.</blockquote>
Which sentence from the article provides the MOST LIKELY reason why horse owners are not prosecuted for abuse and neglect issues?",0.34355828220858897
What is the Department of Agriculture's Bureau of Animal Health and Welfare's primary duty?,0.3619631901840491
"Read this sentence from the article.                                                                                                                                                                                                                                                                                              <blockquote>""I can't keep a horse on this property,"" said Julie Boudreau of the Kankakee County Animal Control and Adoption Center.</blockquote>                                                                                                                 What can the reader infer is the reason why the Animal Control Adoption Center is unable to keep horses on its property?                                                                                                                                                                                                                     ",0.20245398773006135
Which of the following is suggested by the article?,0.6470588235294118
Rescue operators say that all of the following are responsible for the horse abandonment crisis EXCEPT:,0.5294117647058824
"Based on information in the question, what will MOST LIKELY happen in the near future?",0.4852941176470588
"According to the information presented in the article, which paragraph suggests that Illinois state officials have NOT given the abandoned horses' case top priority?",0.25
Why did some retired military leaders form the group Mission: Readiness?,0.7173473513950667
Which paragraph BEST explains why it is a problem for the country that there are not enough young people qualified for military service?,0.32551556813586735
Which sentence from the article provides the strongest evidence of the need for increased funding of physical education?,0.49818034775576225
Why is the U.S. military trying to recruit more young women?,0.8366305041480536
Which sentence from the article BEST explains why more women may want to join the military now that combat roles are open to them?,0.5564773452456924
Select the paragraph in the article that BEST shows military leaders are worried about American children.,0.18442884492661135
Select the paragraph that BEST shows why the military needs more women.,0.1417004048582996
Which do the retired generals believe will help young Americans be ready to join the military?,0.6167341430499326
Which statement from the article shows BEST that today's soldiers are not in top shape?,0.460863697705803
What's one reason fewer young men are joining the military?,0.8190709046454768
Why are military leaders worried?,0.7182151589242054
Select the paragraph in the article that BEST shows why soldiers need to go to preschool.,0.3954767726161369
How does the author help the reader understand the connection between Malala and other girls in Pakistan?,0.6748182419035029
"Read the selection from the article. <blockquote>Malala was stabilized first at the top military hospital in Pakistan and then transferred to specialists in Birmingham, England. The Pakistani government was forceful in denouncing the attack. Pakistan's President Asif Ali Zardari said it was ""an attack on all girls in Pakistan, an attack on education, and on all civilized people,"" vowing ""the work that she led was higher before God than what terrorists do in the name of religion. We will continue her shining cause. ""The backlash unnerved the Taliban. It took the unusual step of trying to positively spin the attempted murder of a child. ""She was pro-West, she was speaking against Taliban and she was calling President Obama her ideal leader,"" Ehsanullah Ehsan, a Taliban spokesman, claimed in a statement aimed at justifying the attack. Millions of Pakistanis rejected this reasoning, however, rallying and marching to support Malala and pray for her recovery. </blockquote>The author uses an analogy in the selection to make a comparison between:",0.3754130865829478
Which sentence from the selection demonstrates a cause and effect relationship among events?,0.34038334434897555
What do Malala's accomplishments suggest about her?,0.8935888962326504
Which detail from the article illustrates the positive effect of Malala's work on the world?,0.6100462656972901
What event caused Malala to take action in support of education for girls?,0.7799019607843137
Which detail from the article BEST shows the impact of education on Malala?,0.5936274509803922
"How does the author introduce Pakistan's President Asif Ali Zardari in the section of the article titled ""A Nation Rallies In Support""?",0.6460784313725491
Which sentence from the selection provides the MOST evidence of the author's claim that Malala was targeted by the Taliban?,0.49901960784313726
Which detail from the article BEST shows that the Taliban were targeting Malala?,0.5009803921568627
What information from the article shows the reason Malala got shot?,0.4621026894865526
What is the effect of the Taliban's attack on Malala?,0.31924554662940974
"Read the sentences from the article. <blockquote>Malala thanked her supporters in a video released on the Guardian website. She also discussed her plans for the future. She was proudly wearing a pink backpack over her school uniform. Her uniform was a green sweater with the Edgbaston insignia and a blue skirt. She also wore a headscarf. She called her first day back at school her ""happiest moment.""</blockquote> How does the description of Malala help the reader understand the article?",0.7841425078588893
What important idea does the author show with Malala's story?,0.8644778204680406
What happened to Malala after she spent five months in the hospital?,0.84579219558063
Which sentence from the article BEST shows that Malala has a strong mind and spirit?,0.7306064880112835
What happened when the Taliban tried to explain their attack on Malala?,0.42830277385989657
Which detail from the article BEST shows the relationship between Malala and the Taliban?,0.6473906911142454
What will MOST LIKELY be the effect of Malala's story?,0.608368594264222
"Reread this paragraph from the article: 

>""Diarrheal disease is a lot more of a problem than many people think, certainly in the West,"" Peter Kolksy, a professor of environmental engineering at the University of North Carolina told Watson. ""People have been spoiled by the experience that we think of diarrheal disease as something that perhaps happens (on vacation) or we eat in a strange place and get an upset stomach for a couple of days. We then take medications if necessary and then it's resolved. That doesn't reflect the reality (of the disease) killing something like 2 million children every year."" 

Why does the author say, ""That doesn't reflect the reality (of the disease) killing something like 2 million children every year?""",0.6235649546827795
"According to the World Health Organization, what is one of the main risks of drinking polluted water?",0.9365558912386707
"After reading this article, what can the reader assume will MOST LIKELY happen in the future?",0.5039274924471299
How will companies such as Water4 help end the global water crisis?,0.7359516616314199
"Read these sentences from the article: 

>""When drinking bad water sometimes children can die, so I worry because (my children could) suffer,"" Petronella told Derek Watson, the film's director. ""I, myself, could suffer from drinking bad water.""    

Which sentence from the article provides the BEST evidence of this statement? ",0.7889757301522008
"According to the information in the article, why is diarrhea a particularly dangerous illness, especially in developing countries?",0.7737556561085973
What is the MOST LIKELY reason that diarrhea is now under control in Petronella's village?,0.7770464829288358
"Why is it surprising that diarrheal disease kills more children every year than HIV/AIDS, tuberculosis, and malaria combined?",0.36774989716166184
"According to the information in the article, why is it difficult to get fresh water?",0.6787330316742082
"Read these sentences from the article: 

>I have hopes and dreams for the future,"" Petronella said in the film. ""I hope that my children will grow up and be educated. To see that happen would make me the happiest person in the world."" 

Which of these sentences from the article explains why Petronella has a more positive outlook on her children's futures?",0.37281795511221943
"According to the information in the article, how do most people in the West view diarrheal disease?",0.42768079800498754
"According to the information in the article, why is it difficult for people in poor countries to get fresh water?",0.7605985037406484
Why does polluted water lead to poverty?,0.6041147132169576
What do Dick Greenly and his wife hope to achieve through Water4?,0.7961346633416458
Which sentence from the article explains that water may contain harmful things that you cannot see?,0.7456875308033514
"According to the information in the article, why can taking a sip of water make Petronella and her children sick?",0.8393297190734352
What does the author say kills more children than violent conflicts like war?,0.7126663380975851
How is Water4 helping people in Africa?,0.7585017249876786
What happens when you have diarrhea?,0.8787580088713652
"Read the selection from the article. 

> ""They are the superheroes of the animal world,"" said Shawn Sartorius, a wildlife biologist for the U.S. Fish and Wildlife Service. ""When you follow the tracks of these things, you see they are not taking the easy way around; they will go straight over mountaintops, craggy peaks, the rockiest, steepest, cliffiest place; they will go right over that in the middle of winter, at night."" 

> John Rohrer, wildlife biologist with the U.S. Forest Service, has been astounded to learn in his work on Aubry's research team by just how much territory the wolverines cover, even in winter."" 

> They live in places that are frozen in suspended animation more than six months a year and one of the few animals that is not is the wolverine,"" Rohrer said. ""The North Cascades in winter are pretty hostile to life. Most animals will avoid it in winter or hibernate. It's amazing to see how they move in rugged, remote terrain in 10 to 12 feet of snow. In summer there are cougar and black bear and bobcat and coyotes and great horned owls. In winter time, it is only the wolverines.""

The article structures the argument that wolverines are superheroes of the animal world by:",0.8585690515806988
